,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Total Capitalization,1317409000.0,1227817000.0,1195928000.0,1127185000.0,1076939000.0,1073626000,5754130000,5599277000,5471460000,5375487000,5038324000,4919420000,4715831000,4560596000,3272280000,3073791000,2816079000
Total Equity Gross Minority Interest,296595000.0,208654000.0,178458000.0,111301000.0,62687000.0,68626000,119854000,164200000,245182000,305035000,424593000,551593000,567461000,592923000,605831000,542039000,591594000
Minority Interest,-14092000.0,-12792000.0,-11447000.0,-10205000.0,-8914000.0,-7664000,-5932000,-4297000,-2660000,-991000,876000,4505000,6374000,8106000,12114000,15349000,18121000
Stockholders Equity,310687000.0,221446000.0,189905000.0,121506000.0,71601000.0,68626000,119854000,164200000,245182000,305035000,605831000,551593000,567461000,592923000,605831000,558388000,609715000
Gains Losses Not Affecting Retained Earnings,4976000.0,-3895000.0,16416000.0,-6229000.0,-5589000.0,1536000.0,-15879000,-14095000,62000,671000,997000,408000,-30000,62000,112000,114000,90000
Other Equity Adjustments,4976000.0,-3895000.0,16416000.0,-6229000.0,-5589000.0,1536000.0,-15879000,-14095000,62000,671000,997000,408000,-30000,62000,112000,114000,90000
Retained Earnings,-4210693000.0,-3995637000.0,-3776064000.0,-3536740000.0,-3330857000.0,-3060253000,-2736555000,-2459397000,-2176620000,-1908307000,-1618381000,-1320583000,-1144143000,-983941000,-840643000,-766641000,-626507000
Additional Paid In Capital,4516341000.0,4220916000.0,3949491000.0,3664414000.0,3407986000.0,3134946000,2878160000,2641929000,2424340000,2213603000,2041042000,1867204000,1705201000,1568638000,1434190000,1293160000,1199833000
Capital Stock,63000.0,62000.0,62000.0,61000.0,61000.0,61000,60000,60000,60000,59000,59000,59000,59000,58000,58000,57000,57000
Common Stock,63000.0,62000.0,62000.0,61000.0,61000.0,61000,60000,60000,60000,59000,59000,59000,59000,58000,58000,57000,57000
Total Liabilities Net Minority Interest,7155654000.0,6966349000.0,6509504000.0,6359215000.0,6251984000.0,6099452000,5634276000,5435077000,5226278000,5070452000,4613731000,4367827000,4148370000,3967673000,2666449000,2531752000,2224485000
Total Non Current Liabilities Net Minority Interest,3336001000.0,3303141000.0,3070301000.0,3058123000.0,3123242000.0,3047086000,2839141000,2808384000,2592538000,2589617000,2375573000,2104288000,1973642000,1800581000,748858000,759741000,714130000
Other Non Current Liabilities,56151000.0,59712000.0,46218000.0,34639000.0,30282000.0,22330000,15904000,13039000,12722000,10752000,13000,13000,1408000,1408000,1408000,22109000,505000
Non Current Deferred Liabilities,1606171000.0,1567007000.0,1397803000.0,1311787000.0,1393807000.0,1373250000,1188815000,1149346000,1123321000,1095291000,960924000,716154000,724359000,616834000,550118000,551665000,528904000
Non Current Deferred Revenue,1606171000.0,1567007000.0,1397803000.0,1311787000.0,1393807000.0,1373250000,1188815000,1149346000,1123321000,1095291000,960924000,716154000,724359000,616834000,550118000,551665000,528904000
Long Term Debt And Capital Lease Obligation,1673679000.0,1676422000.0,1626280000.0,1711697000.0,1699153000.0,1005000000,1634422000,1645999000,1456495000,1483574000,1414636000,1388121000,1247875000,221285000,196447000,206376000,205117000
Long Term Capital Lease Obligation,666957000.0,670051000.0,620257000.0,706018000.0,693815000.0,646500000,629756000,641664000,467187000,494590000,425973000,399776000,259841000,221285000,196447000,206376000,205117000
Long Term Debt,1006722000.0,1006371000.0,1006023000.0,1005679000.0,1005338000.0,1005000000,1004666000,1004335000,989308000,988984000,988663000,988345000,988034000,0,0,0,0
Current Liabilities,3819653000.0,3663208000.0,3439203000.0,3301092000.0,3128742000.0,3052366000,2795135000,2626693000,2633740000,2480835000,2238158000,2263539000,2174728000,1228546000,1917591000,1772011000,1510355000
Other Current Liabilities,360018000.0,347805000.0,335689000.0,334882000.0,299050000.0,271121000,247949000,216273000,247949000,236006000,260395000,231199000,223323000,180769000,157916000,182084000,122285000
Current Deferred Liabilities,3143701000.0,3004969000.0,2792396000.0,2662087000.0,2513339000.0,2406292000,2208531000,2117043000,2037696000,1941943000,1750860000,1807639000,1747294000,1758022000,1621186000,1488200000,1295464000
Current Deferred Revenue,3143701000.0,3004969000.0,2792396000.0,2662087000.0,2513339000.0,2406292000,2208531000,2117043000,2037696000,1941943000,1750860000,1807639000,1747294000,1758022000,1621186000,1488200000,1295464000
Current Debt And Capital Lease Obligation,131503000.0,128857000.0,132977000.0,136958000.0,122775000.0,331208000,0,0,0,0,0,0,0,0,0,0,0
Current Capital Lease Obligation,131503000.0,128857000.0,132977000.0,136958000.0,122775000.0,271121000,0,0,0,0,0,0,0,0,0,0,0
Pensionand Other Post Retirement Benefit Plans Current,11616000.0,28147000.0,13174000.0,16176000.0,19987000.0,0,0,0,0,0,0,0,0,0,0,0,0
Payables And Accrued Expenses,172815000.0,153430000.0,164967000.0,150989000.0,173591000.0,60087000,368205000,289102000,368205000,307188000,305494000,308708000,277618000,192781000,178649000,193196000,130554000
Current Accrued Expenses,72755000.0,55936000.0,76632000.0,64687000.0,77825000.0,271100000,247949000,216273000,247949000,236006000,260395000,231199000,223323000,180769000,157916000,182084000,122285000
Interest Payable,16146000.0,6458000.0,16146000.0,6458000.0,16146000.0,60087000,6500000,0,6500000,0,6500000,0,6500000,6500000,0,0,0
Payables,100060000.0,97494000.0,88335000.0,86302000.0,95766000.0,6168078000,120256000,72829000,120256000,71182000,45099000,77509000,54295000,12012000,20733000,11112000,8269000
Total Tax Payable,47517000.0,54609000.0,45493000.0,47425000.0,46688000.0,2892665000,,,,,,,,,,,0
Accounts Payable,52543000.0,42885000.0,42842000.0,38877000.0,49078000.0,10284000,,,,,,,,,,,0
Total Assets,7452249000.0,7175003000.0,6687962000.0,6470516000.0,6314671000.0,283326000,5754130000,5599277000,5471460000,5375487000,5038324000,4919420000,4715831000,4560596000,3272280000,3073791000,2816079000
Total Non Current Assets,3560608000.0,3446803000.0,3319800000.0,3066191000.0,2958681000.0,2558207000,2784674000,2704987000,2453388000,1536883000,1370244000,1193634000,961818000,810831000,760681000,679514000,643245000
Other Non Current Assets,18804000.0,13619000.0,15215000.0,16904000.0,10212000.0,2558207000,10512000,11014000,6481000,4323000,2435000,2170000,3368000,2933000,5755000,8043000,4969000
Non Current Deferred Assets,326240000.0,321824000.0,295894000.0,277614000.0,292509000.0,,244547000,235903000,229877000,225132000,204921000,154328000,159404000,137524000,125643000,127011000,123595000
Investments And Advances,1766011000.0,1610215000.0,1558846000.0,1189135000.0,1059246000.0,195189000,2535553000,2504499000,2263791000,0,0,0,0,0,0,0,0
Investmentin Financial Assets,<null>,<null>,,1189135000.0,1059246000.0,53060000,2535553000,2504499000,2263791000,0,0,0,0,0,0,0,0
Held To Maturity Securities,,,,1189135000.0,1059246000.0,142129000,959260000.0,,,,,,,,,,0
Goodwill And Other Intangible Assets,171955000.0,175671000.0,180722000.0,184970000.0,189921000.0,695360000,198594000,193511000,185074000,189052000,184108000,186770000,173925000,177737000,181549000,97647000,99770000
Other Intangible Assets,29983000.0,33983000.0,38486000.0,43070000.0,47965000.0,,56794000,59176000,50739000,54717000,53655000,56317000,55854000,59666000,63478000,38079000,40202000
Goodwill,141972000.0,141688000.0,142236000.0,141900000.0,141956000.0,,141800000,134335000,134335000,134335000,130453000,130453000,118071000,118071000,118071000,59568000,59568000
Net PPE,1277598000.0,1325474000.0,1269123000.0,1397568000.0,1406793000.0,665107000,709382000,684734000,688341000,592346000,525928000,425950000,338879000,271352000,227330000,218581000,209794000
Accumulated Depreciation,-622960000.0,-587440000.0,-586923000.0,-533580000.0,-490912000.0,,,,,,,,,,,,<null>
Gross PPE,1900558000.0,1912914000.0,1856046000.0,1931148000.0,1897705000.0,,,,,,,,,,,,<null>
Leases,250357000.0,245150000.0,102551000.0,102513000.0,101839000.0,,662379000,674928000,492686000,526030000,452852000,424416000,286242000,221285000,220404000,228232000,205117000
Construction In Progress,14821000.0,46158000.0,154013000.0,138586000.0,108356000.0,695360000,77000000,,,,23651000,,,,,,1165000
Other Properties,660471000.0,665885000.0,626486000.0,722493000.0,715501000.0,3275413000,,,,,,,,,,,<null>
Machinery Furniture Equipment,974909000.0,955721000.0,972996000.0,967556000.0,972009000.0,74549000,,,,,,,,,,,<null>
Properties,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Current Assets,3891641000.0,3728030000.0,3368162000.0,3404282000.0,3356017000.0,74549000,2969500000,3018100000,3018100000,3838600000,3668100000,3754000000,3754000000,3749800000,2511600000,2202500000,1874600000
Other Current Assets,6672000.0,7806000.0,7018000.0,8044000.0,12277000.0,505769000,65004000,69107000,76307000,61641000,72925000,57595000,43123000,32091000,37667000,45432000,29135000
Current Deferred Assets,654636000.0,628232000.0,588915000.0,559278000.0,525570000.0,501821000.0,462795000,447962000,435528000,420136000,387817000,405891000,398194000,406025000,379611000,351573000,309388000
Prepaid Assets,60618000.0,47919000.0,47419000.0,60268000.0,61032000.0,505769000,65000000,76300000,76300000,61600000,72900000,43100000,43100000,32100000,37700000,40200000,28300000
Receivables,425186000.0,634528000.0,401856000.0,364597000.0,346905000.0,2193274000,285315000,257355000,265246000,379353000,185831000,186825000,179732000,307349000,168762000,217010000,233781000
Accrued Interest Receivable,21680000.0,19690000.0,16265000.0,18788000.0,15228000.0,1514808000,0,11032000,0,0,0,0,0,0,0,0,0
Accounts Receivable,403506000.0,614838000.0,385591000.0,345809000.0,331677000.0,678466000,285315000,257355000,265246000,379353000,185831000,186825000,179732000,307349000,168762000,217010000,233781000
Cash Cash Equivalents And Short Term Investments,2744529000.0,2409545000.0,2322954000.0,2412095000.0,2410233000.0,2193274000.0,2156342000,2119866000,2240991000,2977474000,3021507000,3070000000,3132964000,3004300000,1925559000,1800000000,1600530000
Other Short Term Investments,1585849000.0,1697862000.0,1720323000.0,1445689000.0,1543819000.0,1514808000.0,1576293000,1599602000,1412862000,0,0,0,0,0,0,0,0
Cash And Cash Equivalents,1158680000.0,711683000.0,602631000.0,966406000.0,866414000.0,678466000.0,580000000,520264000,828100000,2977474000,3021507000,3070000000,3132964000,3004300000,1925559000,1800000000,1600530000
